title,point,date,review
어벤져스: 엔드게임,10,19.04.24,"고마워요, 정말. 더 무슨 말을 하겠어요.3000만큼 사랑해요"
어벤져스: 엔드게임,10,19.04.24,재밌게 잘봤어요또보러가고싶네요
어벤져스: 엔드게임,10,19.04.24,"긴 여정의 끝, 나는 누구인가의 고민에서 시작된 각 히어로들이 짊어진 사명의 완수가 완벽했다고 생각합니다 각 등장 인물들에 맞는 결말들이었습니다"
어벤져스: 엔드게임,10,19.04.24,캡틴이 묠니르를 어케드냐고 하는분들아 어벤져스2편 울트론편을 자세히 보고오시길
어벤져스: 엔드게임,7,19.04.24,비전을 못살리고 헐크 타노스와 마짱 뜨는거 없어 아쉽다
어벤져스: 엔드게임,10,19.04.24,어벤져스 어셈블! 재밌었습니다. 한번 더 봐야겠어요
어벤져스: 엔드게임,10,19.04.24,오늘 치즈버거 먹어야지..
어벤져스: 엔드게임,10,19.04.24,그냥 최고다~ 최고의 마무리
어벤져스: 엔드게임,10,19.04.24,3000점 정도 재밌음
어벤져스: 엔드게임,10,19.04.24,아싸리 리뷰절대보지 마세요.이 영화 정말최곱니다.
어벤져스: 엔드게임,10,19.04.24,3000만큼 사랑해 ㅠㅠ
어벤져스: 엔드게임,10,19.04.24,3000만큼 사랑해 ㅠㅠ
어벤져스: 엔드게임,10,19.04.24,반전에 반전에  반전인 영화
어벤져스: 엔드게임,10,19.04.24,아...보통 영화보고 안우는데 이 영화보면서 뭉클하고 눈물이 고였네요. 고맙습니다. 어벤져스!!
어벤져스: 엔드게임,6,19.04.24,앞 부분만 약간 지루했고 재밌었어요 엄청 기대하고 봐서인지 끝났을때 뭔가 허무한 느낌이네요 아 이제 끝인건가 .쿠키영상 없습니다
어벤져스: 엔드게임,10,19.04.24,이전 마블 영화 뺴먹은거 있는사람은 필히 그것부터 다 보고 영화관 갈것을 추천함. 빼먹은게 있을수록 재미는 떨어짐.
마녀,1,19.04.24,재미없어 구닥다리 캐릭터들의 현실감이 너무 없네요
어벤져스: 엔드게임,10,19.04.24,넘대박 ㅠㅠㅠㅠ 최고예요
스윙키즈,10,19.04.24,이데올로기 전쟁 속에 피어난 청춘들의 열정반짝반짝 빛나는 도경수의 눈빛과 연기꼭 여러번 보시길 추천드려요
어벤져스: 엔드게임,10,19.04.24,"작품으로 승화한 팬보이들의 밈, 혹은 기억. 고마워요. 그리고 잘가요."
어벤져스: 엔드게임,9,19.04.24,스케일 크고 완결판이라 할만 합니다
